N,P,K,temperature,humidity,ph,rainfall,label
74.2,44.3,34.3,24.4,77.8,6.17,179.0,jute
4.1,18.6,7.6,26.5,84.6,6.65,103.7,orange
90.3,15.6,42.0,20.6,50.0,7.61,217.3,coffee
85.4,15.3,67.4,25.0,80.9,6.4,43.9,watermelon
76.7,61.3,29.8,26.2,81.6,6.62,197.0,jute
69.0,54.8,33.5,27.6,84.2,6.3,224.5,rice
22.4,16.0,22.7,31.1,41.8,5.56,126.7,mango
82.1,17.6,50.4,23.4,88.8,6.68,46.4,watermelon
15.7,28.2,27.9,30.6,57.1,6.01,100.9,mango
119.3,81.8,45.8,27.0,71.1,6.01,90.0,banana
81.4,23.4,49.0,25.9,83.4,7.26,51.6,watermelon
79.7,56.0,39.5,24.8,83.1,6.49,244.5,rice
121.3,83.8,59.9,27.3,87.9,6.88,118.5,banana
19.1,119.6,202.0,21.6,89.0,6.07,57.2,grapes
11.3,9.9,13.3,18.9,91.4,7.04,101.4,orange
91.6,11.2,56.8,29.4,80.5,6.46,51.1,watermelon
112.6,36.9,51.4,26.6,85.8,5.96,274.8,rice
20.1,18.4,14.2,31.6,95.6,7.46,136.1,orange
19.1,122.7,205.0,24.4,70.1,5.56,70.8,grapes
20.5,137.5,205.0,20.4,87.6,6.03,72.8,grapes
103.5,103.7,60.5,27.5,81.5,5.88,117.5,banana
90.5,40.5,32.4,23.5,76.8,6.28,155.8,jute
104.8,68.8,55.4,28.7,85.0,5.95,95.4,banana
89.7,52.6,53.2,25.1,83.5,6.18,162.1,jute
23.2,32.0,22.5,34.5,41.9,6.12,73.5,mango
41.7,73.2,74.1,25.2,21.3,7.38,111.0,chickpea
14.4,32.2,44.1,36.0,47.7,6.64,100.2,mango
101.2,25.2,51.3,29.3,90.0,6.69,36.2,watermelon
17.3,22.3,31.7,34.6,56.8,6.43,103.9,mango
77.2,65.7,34.7,18.5,82.2,6.62,159.8,jute
78.4,20.4,34.5,25.0,87.3,6.99,31.0,watermelon
121.0,70.7,67.8,25.6,76.4,5.59,101.2,banana
59.7,35.6,36.6,21.3,86.8,6.9,182.7,jute
105.4,93.9,34.3,24.3,80.0,6.26,123.5,banana
101.9,92.8,41.5,27.2,85.3,6.24,112.9,banana
71.7,51.3,22.3,21.0,82.9,7.17,177.6,jute
107.9,35.7,18.7,25.9,78.8,6.4,101.4,maize
45.5,54.7,91.7,22.1,17.6,7.11,81.4,chickpea
40.8,70.5,91.2,22.8,15.1,7.58,65.9,chickpea
103.7,33.6,32.7,24.7,59.3,6.15,208.7,coffee
31.2,39.5,87.7,15.6,14.0,7.53,66.7,chickpea
31.4,15.5,22.2,33.8,54.3,5.97,106.7,mango
111.1,52.9,14.0,25.4,75.6,6.8,85.6,cotton
40.8,52.5,69.8,19.9,18.4,7.28,84.8,chickpea
69.9,57.7,38.9,25.0,77.8,6.39,270.2,rice
95.6,92.4,47.5,29.4,75.3,6.14,121.8,banana
74.6,54.2,36.4,22.9,88.8,7.03,184.1,jute
91.6,34.1,47.2,24.9,79.6,6.43,212.9,jute
18.5,70.0,13.3,15.4,67.0,6.96,47.3,lentil
95.3,49.6,27.6,26.4,77.6,5.21,121.0,banana
120.1,73.6,42.3,25.8,84.4,6.34,149.2,banana
104.4,16.0,71.1,24.3,77.5,6.02,46.9,watermelon
39.6,55.9,93.7,20.3,14.0,7.18,38.0,chickpea
14.4,17.0,9.3,25.2,89.5,7.14,109.2,orange
24.0,11.7,9.5,21.6,89.4,6.61,50.9,orange
20.1,61.5,18.3,22.0,63.7,7.87,34.6,lentil
9.5,75.8,21.6,19.8,44.5,7.41,71.5,lentil
23.3,122.6,202.9,24.4,75.3,6.01,55.2,grapes
21.1,37.2,38.4,30.8,53.9,6.7,115.9,mango
21.2,134.6,162.6,24.9,89.3,5.99,69.4,grapes
111.4,23.8,47.4,20.0,79.4,6.42,52.3,watermelon
88.1,36.2,29.6,24.8,36.6,6.5,199.1,coffee
110.4,13.5,64.9,26.9,90.4,6.87,42.7,watermelon
88.2,30.3,20.0,24.0,56.5,6.85,187.5,coffee
106.7,19.8,49.3,23.2,80.6,5.77,44.4,watermelon
115.0,36.0,20.7,30.2,75.7,7.17,54.9,cotton
29.5,28.0,15.5,34.9,48.0,5.82,97.7,mango
54.7,54.2,87.4,17.3,19.5,6.69,73.4,chickpea
18.6,13.8,10.6,25.3,95.0,6.62,129.2,orange
79.3,98.2,39.5,26.3,72.9,6.19,133.5,banana
22.1,145.0,200.0,22.9,83.1,6.47,86.3,grapes
18.7,25.9,7.7,18.1,100.0,7.79,164.7,orange
14.5,71.0,16.7,16.4,55.0,7.84,25.7,lentil
111.4,16.2,42.5,23.7,85.8,6.56,41.5,watermelon
96.0,29.3,18.8,18.7,67.5,5.4,99.9,maize
88.6,41.9,12.8,22.0,50.4,6.17,102.8,maize
18.1,73.9,10.0,17.5,56.6,6.82,70.0,lentil
84.1,54.6,37.8,27.4,78.7,6.37,171.6,rice
120.5,32.7,18.5,29.8,68.9,6.75,98.8,cotton
21.0,136.5,173.0,22.8,90.7,5.79,58.8,grapes
109.1,44.2,20.7,22.5,54.4,6.61,113.5,maize
122.6,35.2,21.7,29.2,66.9,6.59,105.5,cotton
10.4,16.9,5.0,23.3,94.3,6.48,115.8,orange
113.9,56.9,18.2,31.1,56.3,6.91,70.5,cotton
54.0,43.7,78.3,18.9,14.0,6.96,70.7,chickpea
84.2,40.2,43.7,24.2,43.4,7.17,141.3,coffee
107.5,84.1,46.0,23.8,78.9,5.62,100.1,banana
36.0,63.1,95.0,17.5,14.0,7.41,70.5,chickpea
63.0,36.7,49.3,23.7,83.8,6.8,200.0,rice
62.3,33.0,27.0,24.4,82.8,6.33,200.5,rice
9.8,41.0,29.8,34.5,35.3,5.73,103.7,mango
119.1,60.0,18.6,28.2,68.7,7.11,56.9,cotton
93.8,49.9,14.8,24.0,51.4,6.08,54.9,maize
19.1,45.7,31.5,25.0,60.8,6.41,62.3,lentil
8.4,110.6,177.5,28.7,73.3,6.36,67.3,grapes
76.5,61.6,42.6,26.1,78.6,6.93,203.8,jute
131.0,47.7,17.1,24.1,70.3,6.47,34.4,cotton
20.0,26.1,23.0,36.6,65.4,4.94,74.1,mango
10.2,23.6,37.1,27.5,62.1,5.78,101.7,mango
79.9,45.9,39.5,27.1,74.0,6.54,182.8,jute
19.5,36.0,38.5,34.3,62.0,6.06,98.7,mango
16.2,121.9,177.9,23.9,72.8,6.0,84.9,grapes
115.1,24.1,27.5,22.9,56.2,6.44,138.1,coffee
23.8,28.7,22.1,31.5,61.1,5.58,103.4,mango
16.5,17.9,8.0,26.2,94.5,7.06,68.0,orange
16.8,17.3,7.7,22.5,89.6,6.53,90.3,orange
19.1,23.3,31.2,32.9,38.4,5.89,97.6,mango
116.0,26.9,26.0,26.0,52.7,7.05,141.9,coffee
91.0,19.0,47.1,25.3,85.5,6.31,43.4,watermelon
19.3,133.1,205.0,21.4,84.0,6.62,61.2,grapes
114.0,39.5,20.1,26.6,70.7,6.03,82.8,cotton
115.6,15.5,39.6,29.1,84.6,6.73,40.8,watermelon
21.9,57.6,13.9,21.0,65.6,7.3,69.4,lentil
94.5,13.5,67.3,25.8,80.8,5.97,54.4,watermelon
100.5,28.2,23.3,23.7,59.5,6.8,142.4,coffee
42.4,66.1,80.1,19.4,14.0,6.95,79.1,chickpea
104.7,17.7,44.6,21.6,83.3,6.75,50.1,watermelon
102.3,15.2,66.0,31.1,77.9,6.28,25.7,watermelon
99.3,86.6,38.7,28.4,87.8,6.35,110.1,banana
120.1,40.2,22.6,24.4,70.1,7.38,49.5,cotton
123.2,40.0,23.8,33.4,72.5,6.63,87.2,cotton
19.2,139.3,202.0,18.5,86.8,6.31,64.1,grapes
82.2,93.7,52.5,23.3,90.5,6.03,104.2,banana
113.0,13.5,43.7,26.0,97.2,6.46,46.0,watermelon
22.7,7.2,1.5,21.7,97.4,7.36,68.1,orange
38.4,64.9,64.5,16.1,14.0,7.06,94.2,chickpea
95.9,20.2,36.6,23.5,62.0,6.5,160.5,coffee
20.6,56.4,24.4,17.9,74.0,6.82,34.4,lentil
108.4,33.9,37.0,25.1,43.7,6.62,126.2,coffee
66.3,57.4,43.8,25.1,84.9,6.95,200.3,rice
54.1,37.7,28.1,22.6,76.3,6.82,166.0,jute
92.7,62.6,28.8,28.0,92.5,6.24,77.9,banana
